"Name","StoreID","City","County","PostCode","Phone","Manager","URL"
"Rochester,NH","3489","Rochester","Strafford","03867","(603) 335-1300","Shawn C.","/l/Rochester-NH/NH/Rochester/03867/3489"
"Somersworth","8931","Somersworth","Strattford","03878","(603) 692-0007","Amy L.","/l/Somersworth/NH/Somersworth/03878/8931"
"Biddeford","2405","Biddeford","York","04005","(207) 284-1115","Timothy B.","/l/Biddeford/ME/Biddeford/04005/2405"
"South Portland","2406","South Portland","Cumberland","04106","(207) 879-2500","Nicholas C.","/l/South-Portland/ME/South-Portland/04106/2406"
"Portland","2401","Portland","Cumberland","04103","(207) 761-0600","John T.","/l/Portland/ME/Portland/04103/2401"
"Portsmouth","3409","Portsmouth","Rockingham","03801","(603) 431-0517","Richard A.","/l/Portsmouth/NH/Portsmouth/03801/3409"
"North Windham","2412","Windham","Cumberland","04062","(207) 892-1793","Shaina M.","/l/North-Windham/ME/Windham/04062/2412"
"Tilton","3402","Tilton","Belknap","03276","(603) 286-9599","Nanette C.","/l/Tilton/NH/Tilton/03276/3402"
"North Conway","3407","North Conway","Carroll","03860","(603) 356-4130","Bradford B.","/l/North-Conway/NH/North-Conway/03860/3407"
"Concord, NH","3485","Concord","Merrimack","03301","(603) 227-0580","Kelly M.","/l/Concord-NH/NH/Concord/03301/3485"
"North Hampton","3405","North Hampton","Rockingham","03862","(603) 964-1526","Nicolas L.","/l/North-Hampton/NH/North-Hampton/03862/3405"
"Hooksett","3403","Hooksett","Merrimack","03106","(603) 644-1792","Matthew S.","/l/Hooksett/NH/Hooksett/03106/3403"
"Seabrook","3404","Seabrook","Rockingham","03874","(603) 474-0150","William B.","/l/Seabrook/NH/Seabrook/03874/3404"
"Manchester, NH","3482","Manchester","Hillsborough","03103","(603) 627-1900","Peter C.","/l/Manchester-NH/NH/Manchester/03103/3482"
"Plaistow","3487","Plaistow","Rockingham","03865","(603) 378-2172","Renee M.","/l/Plaistow/NH/Plaistow/03865/3487"
"Topsham","2410","Topsham","Sagadahoc","04086","(207) 798-6931","Bruce C.","/l/Topsham/ME/Topsham/04086/2410"
"Auburn, ME","2403","Auburn","Androscoggin","04210","(207) 777-0042","Karl S.","/l/Auburn-ME/ME/Auburn/04210/2403"
"Augusta, ME","2404","Augusta","Kennebec","04330","(207) 621-6888","Levi J.","/l/Augusta-ME/ME/Augusta/04330/2404"
"Methuen","2685","Methuen","Essex","01844","(978) 989-9025","Carmen F.","/l/Methuen/MA/Methuen/01844/2685"
"Salem, NH","3480","Salem","Rockingham","03079","(603) 894-1900","David P.","/l/Salem-NH/NH/Salem/03079/3480"
"Londonderry","3401","Londonderry","Rockingham","03053","(603) 537-1927","Bonnie R.","/l/Londonderry/NH/Londonderry/03053/3401"
