"Name","StoreID","City","County","PostCode","Phone","Manager","URL"
"Williston","4501","Williston","Chittenden","05495","(802) 872-0039","Melissa G.","/l/Williston/VT/Williston/05495/4501"
"Littleton, NH","8539","Littleton","Grafton","03561","(603) 444-7520","Peter L.","/l/Littleton-NH/NH/Littleton/03561/8539"
"W Lebanon","3406","West Lebanon","Grafton","03784","(603) 298-9540","Kenneth F.","/l/W-Lebanon/NH/West-Lebanon/03784/3406"
"Rutland","4502","Rutland","Rutland","05701","(802) 786-6900","Andrew S.","/l/Rutland/VT/Rutland/05701/4502"
"Claremont","3408","Claremont","Sullivan","03743","(603) 542-4471","Damien C.","/l/Claremont/NH/Claremont/03743/3408"
"Glens Falls","6160","Queensbury","Warren","12804","(518) 798-8301","Amanda P.","/l/Glens-Falls/NY/Queensbury/12804/6160"
"Bennington","4551","Bennington","Bennington","05201","(802) 447-9997","Jameson D.","/l/Bennington/VT/Bennington/05201/4551"
"Keene","3488","Keene","Cheshire","03431","(603) 355-2113","Charles S.","/l/Keene/NH/Keene/03431/3488"
"Saratoga Springs","1223","Saratoga Springs","Saratoga","12866","(518) 581-6480","Mark W.","/l/Saratoga-Springs/NY/Saratoga-Springs/12866/1223"
"Clifton Park","1269","Halfmoon","Saratoga","12065","(518) 348-0158","John G.","/l/Clifton-Park/NY/Halfmoon/12065/1269"
"Latham","1259","Latham","Albany","12110","(518) 782-9867","Craig F.","/l/Latham/NY/Latham/12110/1259"
"Greenfield,MA","2619","Greenfield","Franklin","01301","(413) 773-9150","Jared P.","/l/Greenfield-MA/MA/Greenfield/01301/2619"
"N Greenbush","1263","Rensselaer","Rensselaer","12144","(518) 283-1819","Scott R.","/l/N-Greenbush/NY/Rensselaer/12144/1263"
"Pittsfield","2683","Pittsfield","Berkshire","01201","(413) 445-9901","Anthony F.","/l/Pittsfield/MA/Pittsfield/01201/2683"
"Albany,NY","1262","Albany","Albany","12205","(518) 438-1586","Jason G.","/l/Albany-NY/NY/Albany/12205/1262"
"Schenectady","1239","Schenectady","Schenectady","12304","(518) 388-9121","Brett M.","/l/Schenectady/NY/Schenectady/12304/1239"
"AlbaNY","1241","Albany","Albany","12205","(518) 452-9600","Vincent T.","/l/AlbaNY/NY/Albany/12205/1241"
"North Conway","3407","North Conway","Carroll","03860","(603) 356-4130","Bradford B.","/l/North-Conway/NH/North-Conway/03860/3407"
"Bloomfield,CT","6228","Bloomfield","Hartford","06002","(860) 286-0300","Ernest G.","/l/Bloomfield-CT/CT/Bloomfield/06002/6228"
"W Hartford","6210","West Hartford","Hartford","06110","(860) 231-1919","Edward B.","/l/W-Hartford/CT/West-Hartford/06110/6210"
"Bristol","6229","Bristol","Hartford","06010","(860) 582-5329","William T.","/l/Bristol/CT/Bristol/06010/6229"
"New Hartford","6218","New Hartford","Litchfield","06057","(860) 496-8620","Helena M.","/l/New-Hartford/CT/New-Hartford/06057/6218"
"Glastonbury","6220","Glastonbury","Hartford","06033","(860) 657-1184","Edward G.","/l/Glastonbury/CT/Glastonbury/06033/6220"
"Southington","6208","Southington","Hartford","06489","(860) 621-6770","Matilda P.","/l/Southington/CT/Southington/06489/6208"
"Berlin","6203","Berlin","Hartford","06037","(860) 828-9440","Kelly P.","/l/Berlin/CT/Berlin/06037/6203"
"Manchester, CT","6207","Manchester","Hartford","06040","(860) 644-5588","Joseph M.","/l/Manchester-CT/CT/Manchester/06040/6207"
"South Southington","6235","Southington","Hartford","06489","(860) 276-6837","Randy D.","/l/South-Southington/CT/Southington/06489/6235"
"Enfield","6214","Enfield","Hartford","06082","(860) 745-1900","Craig F.","/l/Enfield/CT/Enfield/06082/6214"
"Middletown,CT","6233","Middletown","Middlesex","06457","(860) 346-3007","Richard C.","/l/Middletown-CT/CT/Middletown/06457/6233"
"Waterbury","6212","Waterbury","New Haven","06708","(203) 757-7206","Mark M.","/l/Waterbury/CT/Waterbury/06708/6212"
"Westfield","8923","Westfield","Hampden","01085","(413) 564-0680","Dustin K.","/l/Westfield/MA/Westfield/01085/8923"
"Wallingford","6217","Wallingford","New Haven","06492","(203) 269-1211","Michael M.","/l/Wallingford/CT/Wallingford/06492/6217"
"W Springfield","2662","West Springfield","Hampden","01089","(413) 731-9700","Michele M.","/l/W-Springfield/MA/West-Springfield/01089/2662"
"Chicopee","2610","Chicopee","Hampden","01020","(413) 593-5400","Christopher C.","/l/Chicopee/MA/Chicopee/01020/2610"
"E Springfield","2678","Wilbraham","Hampden","01095","(413) 543-8100","Jessica M.","/l/E-Springfield/MA/Wilbraham/01095/2678"
"Hamden","8473","Hamden","New Haven","06514","(203) 248-5925","Vanessa S.","/l/Hamden/CT/Hamden/06514/8473"
"N Haven","6201","North Haven","New Haven","06473","(203) 234-1300","Joe T.","/l/N-Haven/CT/North-Haven/06473/6201"
"Windham","6230","North Windham","Windham","06256","(860) 465-5631","John C.","/l/Windham/CT/North-Windham/06256/6230"
"Hadley","8452","Hadley","Hampshire","01035","(413) 587-2790","George P.","/l/Hadley/MA/Hadley/01035/8452"
"Derby","6226","Derby","New Haven","06418","(203) 734-1371","Marissa D.","/l/Derby/CT/Derby/06418/6226"
"New Milford","4878","New Milford","Litchfield","06776","(860) 350-0304","James C.","/l/New-Milford/CT/New-Milford/06776/4878"
"East Haven","6223","East Haven","New Haven","06512","(203) 467-2001","William M.","/l/East-Haven/CT/East-Haven/06512/6223"
"Orange, CT","6202","Orange","New Haven","06477","(203) 799-1900","Matthew H.","/l/Orange-CT/CT/Orange/06477/6202"
"Danbury","6209","Danbury","Fairfield","06810","(203) 730-9600","Christopher Y.","/l/Danbury/CT/Danbury/06810/6209"
"Lisbon","6221","Lisbon","New London","06351","(860) 376-2047","Felicia F.","/l/Lisbon/CT/Lisbon/06351/6221"
"Catskill","6176","Leeds","Greene","12451","(518) 943-1135","Deborah B.","/l/Catskill/NY/Leeds/12451/6176"
"Kingston/Ulster","1227","Kingston","Ulster","12401","(845) 336-4575","Justin O.","/l/Kingston-Ulster/NY/Kingston/12401/1227"
"Poughkeepsie","1266","Poughkeepsie","Dutchess","12601","(845) 485-0420","Richard C.","/l/Poughkeepsie/NY/Poughkeepsie/12601/1266"
"Wappingers Falls","1207","Wappingers Falls","Dutchess","12590","(845) 298-9200","Christopher Z.","/l/Wappingers-Falls/NY/Wappingers-Falls/12590/1207"
"Montville,CT","6234","Uncasville","New London","06382","(860) 848-9217","Seth Z.","/l/Montville-CT/CT/Uncasville/06382/6234"
"Waterford","6215","Waterford","New London","06385","(860) 437-1900","Richard B.","/l/Waterford/CT/Waterford/06385/6215"
"Southeast/Brewster","1271","Brewster","Putnam","10509","(845) 279-9669","Robert S.","/l/Southeast-Brewster/NY/Brewster/10509/1271"
"Fishkill","6178","Fishkill","Dutchess","12524","(845) 896-0824","Daniel G.","/l/Fishkill/NY/Fishkill/12524/6178"
"Newburgh","1250","Newburgh","Orange","12550","(845) 561-6540","Domenic R.","/l/Newburgh/NY/Newburgh/12550/1250"
"Trumbull","6236","Trumbull","Fairfield","06611","(203) 880-2300","Mark R.","/l/Trumbull/CT/Trumbull/06611/6236"
"Oxford,MA","2624","Oxford","Worcester","01540","(508) 987-2151","Alfons P.","/l/Oxford-MA/MA/Oxford/01540/2624"
"Auburn,MA","2682","Auburn","Worcester","01501","(508) 721-2247","Elzbieta Z.","/l/Auburn-MA/MA/Auburn/01501/2682"
"Worcester,MA","2684","Worcester","Worcester","01606","(508) 852-6260","Pedro F.","/l/Worcester-MA/MA/Worcester/01606/2684"
"Shrewsbury","2672","Shrewsbury","Worcester","01545","(508) 842-4100","Scott S.","/l/Shrewsbury/MA/Shrewsbury/01545/2672"
"Smithfield","4282","Smithfield","Providence","02917","(401) 233-4204","Jennifer W.","/l/Smithfield/RI/Smithfield/02917/4282"
"Westerly","4284","Westerly","Washington","02891","(401) 596-4440","Scarlett D.","/l/Westerly/RI/Westerly/02891/4284"
"Coventry","4279","Coventry","Kent","02816","(401) 823-5173","David C.","/l/Coventry/RI/Coventry/02816/4279"
"Warwick","4280","Warwick","Kent","02886","(401) 826-0600","John C.","/l/Warwick/RI/Warwick/02886/4280"
"Johnston","4286","Johnston","Providence","02919","(401) 942-9499","William T.","/l/Johnston/RI/Johnston/02919/4286"
"Providence","4285","Providence","Providence","02908","(401) 454-1811","Marcelo A.","/l/Providence/RI/Providence/02908/4285"
"N Kingstown","4283","North Kingstown","Washington","02852","(401) 295-1184","Lisa I.","/l/N-Kingstown/RI/North-Kingstown/02852/4283"
"Bellingham","2651","Bellingham","Norfolk","02019","(508) 966-9200","Michael L.","/l/Bellingham/MA/Bellingham/02019/2651"
"S Attleboro","2659","South Attleboro","Bristol","02703","(508) 761-4001","Jose C.","/l/S-Attleboro/MA/South-Attleboro/02703/2659"
"Seekonk","2615","Seekonk","Bristol","02771","(508) 336-2563","Sara C.","/l/Seekonk/MA/Seekonk/02771/2615"
"Mansfield","2609","Mansfield","Bristol","02048","(508) 337-2050","Albert D.","/l/Mansfield/MA/Mansfield/02048/2609"
"Middletown","4287","Middletown","Newport","02842","(401) 845-5092","Paul H.","/l/Middletown/RI/Middletown/02842/4287"
"Somerset","2605","Somerset","Bristol","02725","(508) 646-9053","Robert L.","/l/Somerset/MA/Somerset/02725/2605"
"Marlborough","2607","Marlborough","Middlesex","01752","(508) 357-2223","Kristen C.","/l/Marlborough/MA/Marlborough/01752/2607"
"Natick","2669","Natick","Middlesex","01760","(508) 647-9600","Geoffrey H.","/l/Natick/MA/Natick/01760/2669"
"Norwood","2681","Norwood","Norfolk","02062","(781) 762-9270","Christy N.","/l/Norwood/MA/Norwood/02062/2681"
"Riverhead","1222","Riverhead","Suffolk","11901","(631) 284-2530","Andrew C.","/l/Riverhead/NY/Riverhead/11901/1222"
"N Dartmouth","2673","North Dartmouth","Bristol","02747","(508) 997-9600","David R.","/l/N-Dartmouth/MA/North-Dartmouth/02747/2673"
"Stratford","6225","Stratford","Fairfield","06614","(203) 386-9815","Scott F.","/l/Stratford/CT/Stratford/06614/6225"
"Bridgeport","6213","Bridgeport","Fairfield","06606","(203) 372-7299","Scott S.","/l/Bridgeport/CT/Bridgeport/06606/6213"
"Fairfield, CT","6206","Fairfield","Fairfield","06824","(203) 254-3888","Jack C.","/l/Fairfield-CT/CT/Fairfield/06824/6206"
"Norwalk","6204","Norwalk","Fairfield","06854","(203) 854-9111","Stephen B.","/l/Norwalk/CT/Norwalk/06854/6204"
"Cortlandt/Mohegan","1251","Mohegan Lake","Westchester","10547","(914) 528-1539","Piotr R.","/l/Cortlandt-Mohegan/NY/Mohegan-Lake/10547/1251"
"Coram","1229","Coram","Suffolk","11727","(631) 451-0685","Theresa P.","/l/Coram/NY/Coram/11727/1229"
"South Setauket","1265","South Setauket","Suffolk","11720","(631) 580-7849","Valentin S.","/l/South-Setauket/NY/South-Setauket/11720/1265"
"Selden","1209","Selden","Suffolk","11784","(631) 732-9200","Marlene M.","/l/Selden/NY/Selden/11784/1209"
"Commack","1202","Commack","Suffolk","11725","(631) 462-5300","Dawn V.","/l/Commack/NY/Commack/11725/1202"
"Bellport","8958","Bellport","Suffolk","11713","(631) 286-0210","Denise L.","/l/Bellport/NY/Bellport/11713/8958"
